"Target_Symbol"	"Target_ID"	"Target_Name"	"Associated_Disease_Count"	"Tractability_Count"	"sm_approved"	"sm_advancedClinical"	"sm_phase1"	"ab_approved"	"ab_advancedClinical"	"ab_phase1"	"pr_approved"	"pr_advancedClinical"	"pr_phase1"	"oc_approved"	"oc_advancedClinical"	"oc_phase1"	"Subcellular_Location"	"Safety_Liabilities"	"Number_Unique_Drugs"	"Target_in_Pathways"	"num_Approved_Drugs"	"num_Phase3"	"num_Phase2"	"num_Phase1"	"num_Phase4"	"Weighted_Score"
"TOP2A"	"ENSG00000131747"	"DNA topoisomerase II alpha"	534	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	24	2	9	0	0	0	9	593
"POLE"	"ENSG00000177084"	"DNA polymerase epsilon, catalytic subunit"	561	3	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	7	5	5	0	0	0	5	591
"CDK6"	"ENSG00000105810"	"cyclin dependent kinase 6"	548	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	1	12	1	6	0	0	0	6	582
"SDC1"	"ENSG00000115884"	"syndecan 1"	567	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Membrane"	0	1	1	0	0	0	1	0	572.5
"IL1R1"	"ENSG00000115594"	"interleukin 1 receptor type 1"	560	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Membrane"	0	3	1	1	0	2	0	1	571
"IL22"	"ENSG00000127318"	"interleukin 22"	562	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	1	1	0	0	1	0	0	567
"SYK"	"ENSG00000165025"	"spleen associated tyrosine kinase"	527	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	1	12	1	2	0	3	1	2	553.5
"CASP1"	"ENSG00000137752"	"caspase 1"	541	6	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	1	3	1	0	0	3	0	0	552
"OPRM1"	"ENSG00000112038"	"opioid receptor mu 1"	469	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	38	84	1	20	0	0	0	20	542
"HSP90AA1"	"ENSG00000080824"	"heat shock protein 90 alpha family class A member 1"	514	6	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Nucleus"	0	10	2	0	5	2	0	0	541.5
"RXRA"	"ENSG00000186350"	"retinoid X receptor alpha"	517	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	2	7	1	5	0	0	0	5	541
"POLD1"	"ENSG00000062822"	"DNA polymerase delta 1, catalytic subunit"	501	3	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	7	3	5	0	0	0	5	529
"MAP2K1"	"ENSG00000169032"	"mitogen-activated protein kinase kinase 1"	483	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	17	1	7	0	0	0	7	528
"PIK3CB"	"ENSG00000051382"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	486	3	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	29	1	0	3	4	0	0	527.5
"COL1A2"	"ENSG00000164692"	"collagen type I alpha 2 chain"	518	0	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Secreted"	0	2	1	2	0	0	0	2	527
"THRA"	"ENSG00000126351"	"thyroid hormone receptor alpha"	498	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	2	6	1	5	0	0	0	5	521
"TNFSF13B"	"ENSG00000102524"	"TNF superfamily member 13b"	506	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	5	1	1	2	0	0	1	521
"TUBB4B"	"ENSG00000188229"	"tubulin beta 4B class IVb"	413	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	0	59	1	10	0	0	0	10	507
"NOD2"	"ENSG00000167207"	"nucleotide binding oligomerization domain containing 2"	497	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	2	1	1	0	0	0	1	507
"MAPK14"	"ENSG00000112062"	"mitogen-activated protein kinase 14"	462	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	21	2	0	2	10	0	0	503
"CD86"	"ENSG00000114013"	"CD86 molecule"	489	0	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Cell membrane"	0	2	1	2	0	0	0	2	498
"RARA"	"ENSG00000131759"	"retinoic acid receptor alpha"	465	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	2	9	1	7	0	0	0	7	497
"NFKB2"	"ENSG00000077150"	"nuclear factor kappa B subunit 2"	483	3	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	1	2	0	1	0	0	0	490.5
"MCL1"	"ENSG00000143384"	"MCL1 apoptosis regulator, BCL2 family member"	478	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Membrane"	0	2	1	0	2	0	0	0	489
"CSF3R"	"ENSG00000119535"	"colony stimulating factor 3 receptor"	472	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"[Isoform 2]: Secreted"	0	6	1	3	0	0	0	3	489
"LCK"	"ENSG00000182866"	"LCK proto-oncogene, Src family tyrosine kinase"	470	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	3	8	1	3	0	0	0	3	488
"HDAC2"	"ENSG00000196591"	"histone deacetylase 2"	445	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Nucleus"	0	11	2	5	3	0	0	5	482.5
"CDK2"	"ENSG00000123374"	"cyclin dependent kinase 2"	454	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	3	14	6	0	2	5	0	0	481
"NPM1"	"ENSG00000181163"	"nucleophosmin 1"	468	3	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	2	1	2	0	0	0	2	480
"TOP1"	"ENSG00000198900"	"DNA topoisomerase I"	441	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Nucleus"	0	18	1	4	1	0	0	4	479.5
"PPIA"	"ENSG00000196262"	"peptidylprolyl isomerase A"	466	5	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Cytoplasm"	0	3	1	1	0	0	0	1	478
"CD80"	"ENSG00000121594"	"CD80 molecule"	463	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Membrane"	0	3	1	2	0	0	0	2	474
"RPL38"	"ENSG00000172809"	"ribosomal protein L38"	457	4	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	0	3	2	1	0	2	0	1	471
"PIK3CD"	"ENSG00000171608"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	396	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	45	1	6	2	0	0	6	467
"CHEK2"	"ENSG00000183765"	"checkpoint kinase 2"	454	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 2]: Nucleus"	0	2	4	0	0	1	1	0	466.5
"PRKCD"	"ENSG00000163932"	"protein kinase C delta"	450	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cytoplasm"	1	5	2	1	0	2	0	1	464
"HDAC4"	"ENSG00000068024"	"histone deacetylase 4"	432	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Nucleus"	0	9	1	4	3	0	0	4	463.5
"THRB"	"ENSG00000151090"	"thyroid hormone receptor beta"	429	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	9	1	5	0	0	0	5	459
"IL4R"	"ENSG00000077238"	"interleukin 4 receptor"	452	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	2	1	1	0	0	0	1	459
"IL2RB"	"ENSG00000100385"	"interleukin 2 receptor subunit beta"	438	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Cell membrane"	0	5	1	2	0	0	0	2	453
"MAPK1"	"ENSG00000100030"	"mitogen-activated protein kinase 1"	442	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	2	5	1	0	0	2	3	0	452.5
"DHFR"	"ENSG00000228716"	"dihydrofolate reductase"	432	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Mitochondrion"	0	6	1	2	0	0	0	2	450
"NR1H4"	"ENSG00000012504"	"nuclear receptor subfamily 1 group H member 4"	433	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Nucleus"	4	8	1	3	0	0	0	3	448
"TYMS"	"ENSG00000176890"	"thymidylate synthetase"	412	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	10	1	6	0	0	0	6	446
"SNAP25"	"ENSG00000132639"	"synaptosome associated protein 25"	427	0	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Cytoplasm"	0	5	1	4	0	0	0	4	445
"HDAC1"	"ENSG00000116478"	"histone deacetylase 1"	419	3	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Nucleus"	5	11	3	5	1	0	0	5	442.5
"CCR1"	"ENSG00000163823"	"C-C motif chemokine receptor 1"	417	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	3	1	0	0	3	0	0	429
"AKT2"	"ENSG00000105221"	"AKT serine/threonine kinase 2"	409	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	3	13	2	0	2	2	0	0	428
"IKBKB"	"ENSG00000104365"	"inhibitor of nuclear factor kappa B kinase subunit beta"	414	4	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	3	1	0	1	2	0	0	425.5
"TNFRSF8"	"ENSG00000120949"	"TNF receptor superfamily member 8"	411	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Cell membrane"	0	4	1	1	0	1	0	1	422
"GHR"	"ENSG00000112964"	"growth hormone receptor"	407	1	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Cell membrane"	0	4	1	3	0	0	0	3	422
"TNFRSF9"	"ENSG00000049249"	"TNF receptor superfamily member 9"	406	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Membrane"	0	2	1	0	1	1	0	0	413.5
"IFNA2"	"ENSG00000188379"	"interferon alpha 2"	404	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	2	2	0	0	2	0	0	413
"POLE3"	"ENSG00000148229"	"DNA polymerase epsilon 3, accessory subunit"	382	1	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	7	5	5	0	0	0	5	410
"IFNAR1"	"ENSG00000142166"	"interferon alpha and beta receptor subunit 1"	372	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"[Isoform 1]: Cell membrane"	0	12	2	7	0	0	0	7	409
"TNFSF12"	"ENSG00000239697"	"TNF superfamily member 12"	402	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	2	1	0	0	1	1	0	408.5
"HAVCR2"	"ENSG00000135077"	"hepatitis A virus cellular receptor 2"	397	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Membrane"	0	2	1	0	1	1	0	0	405.5
"FYN"	"ENSG00000010810"	"FYN proto-oncogene, Src family tyrosine kinase"	385	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	1	6	1	1	0	0	0	1	399
"PARP1"	"ENSG00000143799"	"poly(ADP-ribose) polymerase 1"	349	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Chromosome"	0	10	3	7	0	0	0	7	388
"IFNGR1"	"ENSG00000027697"	"interferon gamma receptor 1"	378	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Cell membrane"	0	1	2	1	0	0	0	1	387
"CCL11"	"ENSG00000172156"	"C-C motif chemokine ligand 11"	379	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	1	1	0	0	1	0	0	384
"BIRC3"	"ENSG00000023445"	"baculoviral IAP repeat containing 3"	373	3	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	1	1	0	0	1	0	0	379
"IL23A"	"ENSG00000110944"	"interleukin 23 subunit alpha"	359	3	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	5	1	3	0	0	0	3	377
"RPS6KA3"	"ENSG00000177189"	"ribosomal protein S6 kinase A3"	372	4	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	1	1	1	0	0	0	1	0	376.5
"RELA"	"ENSG00000173039"	"RELA proto-oncogene, NF-kB subunit"	366	4	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	1	2	0	1	0	0	0	374.5
"POLD3"	"ENSG00000077514"	"DNA polymerase delta 3, accessory subunit"	349	2	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	7	3	4	0	0	0	4	373
"PRIM1"	"ENSG00000198056"	"DNA primase subunit 1"	344	2	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"No data"	0	7	3	5	0	0	0	5	371
"IL2RG"	"ENSG00000147168"	"interleukin 2 receptor subunit gamma"	363	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	1	1	0	0	1	0	0	368
"IL9"	"ENSG00000145839"	"interleukin 9"	360	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	1	1	0	0	1	0	0	364
"AURKA"	"ENSG00000087586"	"aurora kinase A"	327	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	2	19	3	0	1	6	0	0	357.5
"CD27"	"ENSG00000139193"	"CD27 molecule"	353	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Membrane"	0	1	1	0	0	1	0	0	357
"POLE2"	"ENSG00000100479"	"DNA polymerase epsilon 2, accessory subunit"	327	2	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	7	5	5	0	0	0	5	356
"TYK2"	"ENSG00000105397"	"tyrosine kinase 2"	320	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytosol"	0	12	2	3	2	0	0	3	351
"S1PR1"	"ENSG00000170989"	"sphingosine-1-phosphate receptor 1"	312	5	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	12	1	7	0	0	0	7	351
"LAMA5"	"ENSG00000130702"	"laminin subunit alpha 5"	340	0	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"Secreted"	0	1	1	1	0	0	0	1	345
"ITGB1"	"ENSG00000150093"	"integrin subunit beta 1"	331	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Cell membrane"	0	3	1	0	1	2	0	0	343.5
"POLA1"	"ENSG00000101868"	"DNA polymerase alpha 1, catalytic subunit"	313	4	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	7	3	5	0	0	0	5	342
"POLD2"	"ENSG00000106628"	"DNA polymerase delta 2, accessory subunit"	314	3	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	7	3	5	0	0	0	5	342
"CDK1"	"ENSG00000170312"	"cyclin dependent kinase 1"	310	4	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	12	8	0	2	4	0	0	341
"IL17RA"	"ENSG00000177663"	"interleukin 17 receptor A"	327	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Cell membrane"	0	1	1	1	0	0	0	1	334
"POLD4"	"ENSG00000175482"	"DNA polymerase delta 4, accessory subunit"	306	2	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	7	3	5	0	0	0	5	333
"PRIM2"	"ENSG00000146143"	"DNA primase subunit 2"	304	2	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleoplasm"	0	7	3	5	0	0	0	5	331
"CUL4A"	"ENSG00000139842"	"cullin 4A"	310	3	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleoplasm"	0	4	1	3	0	0	0	3	327
"IL17F"	"ENSG00000112116"	"interleukin 17F"	320	1	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"Secreted"	0	2	1	0	1	1	0	0	326.5
"POLA2"	"ENSG00000014138"	"DNA polymerase alpha 2, accessory subunit"	296	2	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	7	3	4	0	0	0	4	320
"FCER2"	"ENSG00000104921"	"Fc epsilon receptor II"	305	2	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cell membrane"	0	1	1	0	0	1	0	0	310
"CHEK1"	"ENSG00000149554"	"checkpoint kinase 1"	283	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	0	10	6	0	0	5	1	0	309.5
"TSLP"	"ENSG00000145777"	"thymic stromal lymphopoietin"	295	2	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Secreted"	0	2	1	0	1	1	0	0	302.5
"HCK"	"ENSG00000101336"	"HCK proto-oncogene, Src family tyrosine kinase"	282	6	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"[Isoform 1]: Lysosome"	0	6	1	2	0	0	0	2	301
"CEP290"	"ENSG00000198707"	"centrosomal protein 290"	297	0	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Cytoplasm"	0	1	1	0	0	1	0	0	300
"PLK1"	"ENSG00000166851"	"polo like kinase 1"	280	5	"FALSE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"Nucleus"	1	7	3	0	1	2	3	0	298
